knot,newton_converged,newton_termination,newton_iterations,newton_grad_norm,newton_relative_grad_norm,feasible_init_used,min_cone_margin,min_alpha,force_norm,certification_mode,selected_seed_mode,selected_objective,selected_grad_norm,selected_relative_grad_norm,selected_stationarity_passed,selected_min_cone_margin,selected_min_alpha,hessian_llt_success,hessian_eig_min,hessian_eig_max,hessian_condition,newton_decrement,newton_step_norm,action_velocity_mismatch,accepted_node_feasible,accepted_node_grad_norm,accepted_node_relative_grad_norm,accepted_node_stationarity_passed,cold_restart_converged,cold_restart_termination,cold_restart_iterations,cold_restart_grad_norm,cold_restart_relative_grad_norm,cold_restart_feasible_init_used,cold_restart_min_cone_margin,cold_restart_min_alpha,cold_restart_force_norm
0,1,gradient,15,9.696504893159276e-10,7.5927382244387882e-12,1,1.7181645389212807e-07,0.00046636386092352433,298.58021424154879,action_stationarity_plus_shooting_defect_v3,cold_refined,-74.060086895830423,9.696504893159276e-10,7.5927382244387882e-12,1,1.7181645389212807e-07,0.00046636386092352433,1,0.011281199333231589,41135.312119549628,3646359.8332470995,1.080803017423512e-11,6.7495381752643665e-13,2.0165688848276695e-10,1,4.5245469019787767e-07,3.5428951554643427e-09,1,1,gradient,15,9.696504893159276e-10,7.5927382244387882e-12,1,1.7181645389212807e-07,0.00046636386092352433,298.58021424154879
1,1,gradient,27,4.2664121643258854e-10,3.2813362964266021e-12,0,0.0010823011571671828,0.18132549707398218,23.506489078447501,action_stationarity_plus_shooting_defect_v3,cold_refined,-71.849033662925038,4.2664121643258854e-10,3.2813362964266021e-12,1,0.0010823011571671828,0.18132549707398218,1,0.011283504517937607,399.20060766432925,35379.133054780301,2.2326911577141574e-11,1.8315483123028331e-11,9.67024824146481e-11,1,5.5255845366770354e-09,4.2497771900184776e-11,1,1,gradient,27,4.2664121643258854e-10,3.2813362964266021e-12,0,0.0010823011571671828,0.18132549707398218,23.506489078447501
2,1,gradient,8,2.3999776308479819e-09,1.8394602509573127e-11,0,0.0017971438557955188,0.36810810096746571,28.877934892040578,action_stationarity_plus_shooting_defect_v3,cold_refined,-71.782528508724752,2.3999776308479819e-09,1.8394602509573127e-11,1,0.0017971438557955188,0.36810810096746571,1,0.011287996163339375,563.69669856351231,49937.711743228618,1.0384267248575962e-10,6.3819691633053499e-11,7.8156399299101841e-11,1,8.2474100253435792e-09,6.3212184646923392e-11,1,1,gradient,8,2.3999776308479819e-09,1.8394602509573127e-11,0,0.0017971438557955188,0.36810810096746571,28.877934892040578
3,1,direct,0,3.3800975140656335e-14,2.5593444652429264e-16,0,0.0019913537533614023,0.58024410700338591,42.629197815995923,action_stationarity_plus_shooting_defect_v3,accepted_direct,-74.451247253176973,3.3800975140656335e-14,2.5593444652429264e-16,1,0.0019913537533614023,0.58024410700338591,1,0.011349437456107742,1014.9059093622581,89423.454976271329,1.2933521849761273e-14,7.1379054397373208e-14,0,1,3.3800975140656335e-14,2.5593444652429264e-16,1,1,gradient,19,9.4467748375920132e-10,7.1529152027055828e-12,1,0.0019913537514705815,0.58024410700283269,42.629197853724961
4,1,gradient,12,6.3860634737169596e-13,4.9033739945161765e-15,1,0.0015453821906412646,1.1820106210918178,108.13990437930266,action_stationarity_plus_shooting_defect_v3,cold_refined,-75.731847722229048,6.3860634737169596e-13,4.9033739945161765e-15,1,0.0015453821906412646,1.1820106210918178,1,0.011300657244439747,5905.8715413749424,522613.10237338662,9.7754834123976554e-15,2.5703095468104282e-14,4.7430248332477822e-14,1,7.7455523177106124e-13,5.947222410822849e-15,1,1,gradient,12,6.3860634737169596e-13,4.9033739945161765e-15,1,0.0015453821906412646,1.1820106210918178,108.13990437930266
5,1,gradient,16,8.6659220569581729e-12,6.4451251357390733e-14,1,2.7711000374455883e-07,0.00053021021523758094,192.70261294628344,action_stationarity_plus_shooting_defect_v3,cold_refined,-79.233135297022272,8.6659220569581729e-12,6.4451251357390733e-14,1,2.7711000374455883e-07,0.00053021021523758094,1,0.011293805856246874,15634.533659547791,1384345.8846868663,3.7534610012370577e-12,1.961378739082035e-11,7.1621452970043214e-11,1,6.909634201652983e-08,5.1389173337969695e-10,1,1,gradient,16,8.6659220569581729e-12,6.4451251357390733e-14,1,2.7711000374455883e-07,0.00053021021523758094,192.70261294628344
6,1,direct,0,3.3946032019932965e-11,2.5103456742397642e-13,0,3.9408960116816272e-08,0.00020916919955378532,655.92344753530415,action_stationarity_plus_shooting_defect_v3,accepted_direct,-74.408598181321821,3.3946032019932965e-11,2.5103456742397642e-13,1,3.9408960116816272e-08,0.00020916919955378532,1,0.011297852032963107,175487.14614583092,15532788.501196684,8.6453551230566938e-14,1.5999622580445083e-13,0,1,3.3946032019932965e-11,2.5103456742397642e-13,1,1,step,13,2.8720738203295294e-07,2.1239295617017866e-09,1,3.940896005361293e-08,0.00020916919942189083,655.92345526894553
7,1,direct,0,1.2124578948738804e-11,9.1801635261225344e-14,0,1.681922750493083e-07,0.00044958855302500156,329.36535473288717,action_stationarity_plus_shooting_defect_v3,accepted_direct,-74.881261699879843,1.2124578948738804e-11,9.1801635261225344e-14,1,1.681922750493083e-07,0.00044958855302500156,1,0.011360020826024568,45161.567797599571,3975482.834867639,6.8483662947104685e-14,3.3326066682338982e-14,0,1,1.2124578948738804e-11,9.1801635261225344e-14,1,1,gradient,23,3.497523818175375e-09,2.6481612865148353e-11,1,1.6819227504928257e-07,0.00044958855302489054,329.36535473523412
8,1,gradient,16,6.2300955986782899e-12,4.6877889139946013e-14,0,1.31741311337393e-07,0.0004033427870762385,380.2642924476495,action_stationarity_plus_shooting_defect_v3,cold_refined,-77.781299824230217,6.2300955986782899e-12,4.6877889139946013e-14,1,1.31741311337393e-07,0.0004033427870762385,1,0.011307048471324809,62435.97286167241,5521863.0237601688,3.4291327704689755e-14,6.0703482779378406e-14,8.1538691895012781e-14,1,1.6575529645795084e-11,1.2472133514874412e-13,1,1,gradient,16,6.2300955986782899e-12,4.6877889139946013e-14,0,1.31741311337393e-07,0.0004033427870762385,380.2642924476495
9,1,step,14,1.265718345978469e-08,9.3979501345891788e-11,0,1.4527232801823538e-07,0.0004183852652938358,354.38087452795196,action_stationarity_plus_shooting_defect_v3,cold_refined,-81.062905312983474,1.265718345978469e-08,9.3979501345891788e-11,1,1.4527232801823538e-07,0.0004183852652938358,1,0.011286280258603242,54509.269178600647,4829693.0369994696,7.018799584038821e-11,3.3207872465755184e-12,8.9499015134177001e-11,1,5.3294795695913841e-07,3.9571349658851032e-09,1,1,step,14,1.265718345978469e-08,9.3979501345891788e-11,0,1.4527232801823538e-07,0.0004183852652938358,354.38087452795196
10,1,step,16,1.7994382608685568e-07,1.4502586019163681e-09,0,6.6470434570352399e-08,0.00027353015148720572,480.82214097619953,action_stationarity_plus_shooting_defect_v3,cold_refined,-70.999609674299478,1.7994382608685568e-07,1.4502586019163681e-09,1,6.6470434570352399e-08,0.00027353015148720572,1,0.011278190378206057,78745.755694089254,6982126.8353704447,1.049979423865706e-09,5.05821952290729e-11,4.3637256240549987e-11,1,4.3172160884955627e-07,3.4794635108237267e-09,1,1,step,16,1.7994382608685568e-07,1.4502586019163681e-09,0,6.6470434570352399e-08,0.00027353015148720572,480.82214097619953
11,1,direct,0,1.6042608446919694e-12,1.2979419398393642e-14,0,2.4974215367218612e-07,0.0005369629909265719,274.4520480027391,action_stationarity_plus_shooting_defect_v3,accepted_direct,-72.952335204448616,1.6042608446919694e-12,1.2979419398393642e-14,1,2.4974215367218612e-07,0.0005369629909265719,1,0.011306632093463241,28947.728106212136,2560243.215391065,2.2614024187726201e-14,1.0569387665197395e-13,0,1,1.6042608446919694e-12,1.2979419398393642e-14,1,1,gradient,17,2.2143715924566585e-10,1.7915576321311226e-12,0,2.4974215367222148e-07,0.00053696299092664823,274.45204800273933
12,1,gradient,17,1.4605209502032581e-09,1.2160693325786242e-11,0,1.349855372951593e-07,0.00044450715451489764,461.78244368375482,action_stationarity_plus_shooting_defect_v3,cold_refined,-70.389555241711008,1.4605209502032581e-09,1.2160693325786242e-11,1,1.349855372951593e-07,0.00044450715451489764,1,0.011356710923946257,77215.713612162697,6799126.4486048566,1.1151010305945319e-11,7.5056279056504736e-13,7.6181761375539989e-11,1,5.5412342469387559e-07,4.6137818368162034e-09,1,1,gradient,17,1.4605209502032581e-09,1.2160693325786242e-11,0,1.349855372951593e-07,0.00044450715451489764,461.78244368375482
13,1,direct,0,2.0968757280570325e-11,1.9383143312779701e-13,0,2.7545985564078417e-08,0.00018050529612967381,734.06434896379528,action_stationarity_plus_shooting_defect_v3,accepted_direct,-63.427754441542497,2.0968757280570325e-11,1.9383143312779701e-13,1,2.7545985564078417e-08,0.00018050529612967381,1,0.011275068135033465,224390.75315169059,19901498.639682021,5.9593561863648981e-14,9.7894556444171831e-14,0,1,2.0968757280570325e-11,1.9383143312779701e-13,1,1,gradient,17,2.6187449009034172e-11,2.4207208388479864e-13,0,2.7545985564001314e-08,0.00018050529612950728,734.0643489652773
14,1,direct,0,1.5717132631283851e-12,1.4082250870129397e-14,0,6.0000156507058799e-06,0.0052074139432315703,115.92055121833241,action_stationarity_plus_shooting_defect_v3,accepted_direct,-62.141472947958,1.5717132631283851e-12,1.4082250870129397e-14,1,6.0000156507058799e-06,0.0052074139432315703,1,0.011353404950321938,6969.8140794223891,613896.36940808245,2.1224913899375325e-14,3.0110905744237794e-14,0,1,1.5717132631283851e-12,1.4082250870129397e-14,1,1,gradient,17,9.5872506138436457e-09,8.5899935736515714e-11,0,6.0000155767973527e-06,0.0052074138958210225,115.92055154745717
15,1,gradient,16,8.5358774343710867e-12,7.7263216377110897e-14,0,1.4377159055313003e-07,0.00041091118709050967,307.38457537706068,action_stationarity_plus_shooting_defect_v3,cold_refined,-61.070464276327172,8.5358774343710867e-12,7.7263216377110897e-14,1,1.4377159055313003e-07,0.00041091118709050967,1,0.011352974458343587,42250.011472841732,3721492.6914409758,4.90021040120286e-13,3.3987014082476313e-13,3.1347891022726939e-13,1,1.2893459144228808e-11,1.1670623569390413e-13,1,1,gradient,16,8.5358774343710867e-12,7.7263216377110897e-14,0,1.4377159055313003e-07,0.00041091118709050967,307.38457537706068
16,1,max_iterations,999,3.8419203401100643e-08,3.3662154943781533e-10,1,7.9589164551775167e-08,0.00029625012862291578,390.94781950214661,action_stationarity_plus_shooting_defect_v3,cold_refined,-64.291407034845946,3.8419203401100643e-08,3.3662154943781533e-10,1,7.9589164551775167e-08,0.00029625012862291578,1,0.011324391941091114,63867.613832531715,5639827.2123366669,8.9690742912414083e-10,2.993945270870157e-10,3.8036041356476604e-09,1,5.8834450144607445e-07,5.1549595032278349e-09,1,0,max_iterations,999,3.8419203401100643e-08,3.3662154943781533e-10,1,7.9589164551775167e-08,0.00029625012862291578,390.94781950214661
17,1,direct,0,6.0227470452043899e-11,4.2858653234814488e-13,0,1.8549814847874988e-08,0.00014036323666932748,865.21545388163474,action_stationarity_plus_shooting_defect_v3,accepted_direct,-100.61950174037435,6.0227470452043899e-11,4.2858653234814488e-13,1,1.8549814847874988e-08,0.00014036323666932748,1,0.011297840075540345,286551.87845235778,25363421.374032222,1.2984070147779803e-13,1.2033774728799353e-13,0,1,6.0227470452043899e-11,4.2858653234814488e-13,1,0,max_iterations,999,4.7013781298521382e-06,3.3455619749728363e-08,0,1.8549814840043947e-08,0.00014036323663346728,865.21553796822536
18,1,gradient,13,5.7236838790588327e-14,4.2124665618594612e-16,1,0.030220224624208869,0.39960903053580993,2.5285332559848981,action_stationarity_plus_shooting_defect_v3,cold_refined,-79.325277327023045,5.7236838790588327e-14,4.2124665618594612e-16,1,0.030220224624208869,0.39960903053580993,1,0.011294947061568774,35.538227381622121,3146.3828194946987,4.6103644230158323e-14,1.2716771391015576e-13,2.7500647405032529e-11,1,2.1709692067179989e-11,1.5977708383904736e-13,1,1,gradient,13,5.7236838790588327e-14,4.2124665618594612e-16,1,0.030220224624208869,0.39960903053580993,2.5285332559848981
19,1,gradient,3,4.9093443914446369e-14,3.6671071838241302e-16,0,0.48463265620988982,0.82694208037473138,0.32287034777683676,action_stationarity_plus_shooting_defect_v3,cold_refined,-75.17561062981143,4.9093443914446369e-14,3.6671071838241302e-16,1,0.48463265620988982,0.82694208037473138,1,0.01128326077260349,33.912548039541484,3005.5627289837539,1.6386205788312459e-14,6.796257829287458e-14,1.2556394484330038e-13,1,5.0096982964746156e-14,3.7420680129526706e-16,1,1,gradient,3,4.9093443914446369e-14,3.6671071838241302e-16,0,0.48463265620988982,0.82694208037473138,0.32287034777683676
20,1,direct,0,3.6009608090942413e-14,2.7048769215487785e-16,0,0.8229374368101563,1.0590943426632755,0.2229160867478843,action_stationarity_plus_shooting_defect_v3,accepted_direct,-73.456012337727159,3.6009608090942413e-14,2.7048769215487785e-16,1,0.8229374368101563,1.0590943426632755,1,0.011286632597114288,33.903318949421148,3003.8471313480504,1.6827481715012495e-14,1.0955923964266224e-13,0,1,3.6009608090942413e-14,2.7048769215487785e-16,1,1,gradient,3,4.8147873553733648e-14,3.616647858766923e-16,0,0.82293743681017051,1.0590943426632813,0.22291608674788232
21,1,direct,0,1.0362252556483863e-11,7.832529868800454e-14,0,0.062999792972098123,0.75472239887834092,1.706161074545244,action_stationarity_plus_shooting_defect_v3,accepted_direct,-72.229119494599345,1.0362252556483863e-11,7.832529868800454e-14,1,0.062999792972098123,0.75472239887834092,1,0.011291604925175247,34.947561868170816,3095.0039520292926,6.2457502994977571e-12,3.2484649842458486e-11,0,1,1.0362252556483863e-11,7.832529868800454e-14,1,1,gradient,12,1.4962293658678333e-11,1.1309569164479837e-13,0,0.062999792968282398,0.75472239887711146,1.7061610746430163
22,1,direct,0,4.4751691159038893e-14,3.3667098879081431e-16,0,0.62816201865767818,1.2936328803496975,0.4418603768650981,action_stationarity_plus_shooting_defect_v3,accepted_direct,-70.921613412786172,4.4751691159038893e-14,3.3667098879081431e-16,1,0.62816201865767818,1.2936328803496975,1,0.011295477611018633,33.914673843543056,3002.5002050785006,3.3464881990133075e-14,2.3427990188612975e-13,0,1,4.4751691159038893e-14,3.3667098879081431e-16,1,1,gradient,3,1.1885591827564543e-10,8.9416373980759948e-13,1,0.62816201842247765,1.2936328803191317,0.44186037698023589
23,1,gradient,14,1.3720912619878829e-12,1.0651266994474644e-14,1,0.0033228548236881039,1.5203839469635605,69.805244883266838,action_stationarity_plus_shooting_defect_v3,cold_refined,-69.967791392606728,1.3720912619878829e-12,1.0651266994474644e-14,1,0.0033228548236881039,1.5203839469635605,1,0.011362308266794975,2521.3315193333383,221903.10807722376,6.6021723282623055e-14,1.2729601055856115e-13,1.4251838278330817e-13,1,2.2263115845778703e-12,1.7282406613300206e-14,1,1,gradient,14,1.3720912619878829e-12,1.0651266994474644e-14,1,0.0033228548236881039,1.5203839469635605,69.805244883266838
24,1,gradient,15,1.7136417609974841e-13,1.2925749036718441e-15,1,0.0096203748421540003,0.46766457099958991,10.5656539216355,action_stationarity_plus_shooting_defect_v3,cold_refined,-71.498134470168594,1.7136417609974841e-13,1.2925749036718441e-15,1,0.0096203748421540003,0.46766457099958991,1,0.011328336326369101,95.202887681461164,8403.9602055119321,3.1792413516276334e-14,8.6630065964714271e-14,3.8526055228649904e-11,1,3.6443616297981268e-10,2.7488886474378335e-12,1,1,gradient,15,1.7136417609974841e-13,1.2925749036718441e-15,1,0.0096203748421540003,0.46766457099958991,10.5656539216355
25,1,direct,0,8.4670655972562436e-12,6.3435010556145961e-14,0,7.3577335421535629e-08,0.00027383709576311865,396.85518062897995,action_stationarity_plus_shooting_defect_v3,accepted_direct,-74.891117185328,8.4670655972562436e-12,6.3435010556145961e-14,1,7.3577335421535629e-08,0.00027383709576311865,1,0.01132964614922146,61984.73491366981,5471021.256734414,4.9042561752045819e-14,5.9232613094636002e-14,0,1,8.4670655972562436e-12,6.3435010556145961e-14,1,1,gradient,27,1.7694259026697172e-11,1.3256487684534322e-13,1,7.3577335421775697e-08,0.00027383709576356274,396.85518062835865
26,1,gradient,1,5.0009188126993333e-12,3.7728171387113094e-14,0,3.8816792729802114e-08,0.00019989886604378226,620.92402650559097,action_stationarity_plus_shooting_defect_v3,accepted_refined,-72.885555026001654,5.0009188126993333e-12,3.7728171387113094e-14,1,3.8816792729802114e-08,0.00019989886604378226,1,0.011296499669767937,144125.03731738267,12758380.164706668,4.1964622592030056e-14,1.3186424666065802e-13,1.0446197754117182e-09,1,4.1296442391832093e-06,3.1155059991795072e-08,1,1,gradient,17,7.2240381571468236e-09,5.4499934893235935e-11,1,3.8816792729746369e-08,0.00019989886604372675,620.92402650721215
27,1,direct,0,2.8318404937197061e-11,2.1421877074496185e-13,0,7.1040529827912416e-06,0.017638189731389003,493.10637099734282,action_stationarity_plus_shooting_defect_v3,accepted_direct,-80.810481486610684,2.8318404937197061e-11,2.1421877074496185e-13,1,7.1040529827912416e-06,0.017638189731389003,1,0.011299720583885313,90622.684869099248,8019904.93449347,1.0755035458363968e-13,3.4807412965241196e-14,0,1,2.8318404937197061e-11,2.1421877074496185e-13,1,0,max_iterations,999,1.5885094118752203e-08,1.2016514852557841e-10,0,7.1040529904536237e-06,0.01763818975060813,493.10637109864234
28,1,gradient,18,7.7585158475136573e-11,6.0834693747214968e-13,0,1.8818092851980439e-07,0.00043472566198861362,231.65220177163235,action_stationarity_plus_shooting_defect_v3,cold_refined,-78.493697095535509,7.7585158475136573e-11,6.0834693747214968e-13,1,1.8818092851980439e-07,0.00043472566198861362,1,0.011305177897134124,21629.336037177989,1913223.8549435877,1.2964484542506051e-11,1.1789573775795687e-11,6.1180189967888495e-11,1,1.1684004480266829e-07,9.1614536628939592e-10,1,1,gradient,18,7.7585158475136573e-11,6.0834693747214968e-13,0,1.8818092851980439e-07,0.00043472566198861362,231.65220177163235
29,1,step,15,1.5553193127320218e-08,1.2267333974114894e-10,0,1.1215800203685295e-07,0.00036227529690541216,369.54033836740234,action_stationarity_plus_shooting_defect_v3,cold_refined,-78.943523674024291,1.5553193127320218e-08,1.2267333974114894e-10,1,1.1215800203685295e-07,0.00036227529690541216,1,0.011305635043470536,56075.731422908473,4959980.6828449229,6.9437281460269513e-11,2.6571907952481414e-12,6.5170255826151695e-11,1,2.1478149679711269e-07,1.6940549320655827e-09,1,1,step,15,1.5553193127320218e-08,1.2267333974114894e-10,0,1.1215800203685295e-07,0.00036227529690541216,369.54033836740234
30,1,max_iterations,999,2.0955052175793994e-08,1.6671973678657822e-10,1,9.991210942485685e-08,0.00032584475016936287,335.8224445941874,action_stationarity_plus_shooting_defect_v3,cold_refined,-76.561419269258806,2.0955052175793994e-08,1.6671973678657822e-10,1,9.991210942485685e-08,0.00032584475016936287,1,0.011319116101806886,46829.488790221963,4137203.6799539947,2.283324532925723e-09,1.1993445723439106e-09,1.200784679907971e-09,1,1.3150342437829483e-07,1.0462496640422959e-09,1,0,max_iterations,999,2.0955052175793994e-08,1.6671973678657822e-10,1,9.991210942485685e-08,0.00032584475016936287,335.8224445941874
31,1,gradient,17,1.2627993546013175e-09,1.034412922125931e-11,0,1.0385758517899435e-07,0.00032805734634130945,322.81338222235047,action_stationarity_plus_shooting_defect_v3,cold_refined,-73.96500285581952,1.2627993546013175e-09,1.034412922125931e-11,1,1.0385758517899435e-07,0.00032805734634130945,1,0.011330826993160766,41921.926493894687,3699811.7188797044,9.4720996069506207e-11,3.1367151008293824e-11,4.7484649740160135e-11,1,9.2145238585332575e-08,7.5480103119899153e-10,1,1,gradient,17,1.2627993546013175e-09,1.034412922125931e-11,0,1.0385758517899435e-07,0.00032805734634130945,322.81338222235047
32,1,gradient,14,2.2133303336069453e-09,1.8583565903675398e-11,0,8.5075833576373009e-08,0.00029473410613826967,350.81488071725448,action_stationarity_plus_shooting_defect_v3,cold_refined,-70.382335605682428,2.2133303336069453e-09,1.8583565903675398e-11,1,8.5075833576373009e-08,0.00029473410613826967,1,0.011349829876777358,49248.998783783485,4339183.8748658951,1.2192783053064093e-10,2.6575063286399196e-11,3.8352297051826358e-11,1,7.8036220433608225e-08,6.5520777593937047e-10,1,1,gradient,14,2.2133303336069453e-09,1.8583565903675398e-11,0,8.5075833576373009e-08,0.00029473410613826967,350.81488071725448
33,1,gradient,14,5.8988209912024739e-10,4.8280366995031522e-12,0,8.0053620232755993e-08,0.00029975755660011094,454.43750724650232,action_stationarity_plus_shooting_defect_v3,cold_refined,-73.849276679364806,5.8988209912024739e-10,4.8280366995031522e-12,1,8.0053620232755993e-08,0.00029975755660011094,1,0.011339392918052487,82237.336254462905,7252357.9391573789,8.5744735619872367e-11,4.6688445315201751e-11,8.7933274705624034e-11,1,8.54835326980714e-08,6.9966122668414574e-10,1,1,gradient,14,5.8988209912024739e-10,4.8280366995031522e-12,0,8.0053620232755993e-08,0.00029975755660011094,454.43750724650232
34,1,direct,0,1.5460994106415073e-10,1.3097365272439779e-12,0,0.00091623515279972909,0.12324823006316057,28.601129442101982,action_stationarity_plus_shooting_defect_v3,accepted_direct,-66.146851944335538,1.5460994106415073e-10,1.3097365272439779e-12,1,0.00091623515279972909,0.12324823006316057,1,0.011351435578401167,353.94528571745099,31180.662857384919,9.4616792110112688e-12,2.5056209263491737e-12,0,1,1.5460994106415073e-10,1.3097365272439779e-12,1,1,gradient,14,4.0417861284842154e-09,3.423890398862923e-11,0,0.00091623515282082332,0.12324823006319521,28.601129563823601
