knot,newton_converged,newton_termination,newton_iterations,newton_grad_norm,newton_relative_grad_norm,feasible_init_used,min_cone_margin,min_alpha,force_norm,certification_mode,selected_seed_mode,selected_objective,selected_grad_norm,selected_relative_grad_norm,selected_stationarity_passed,selected_min_cone_margin,selected_min_alpha,hessian_llt_success,hessian_eig_min,hessian_eig_max,hessian_condition,newton_decrement,newton_step_norm,action_velocity_mismatch,accepted_node_feasible,accepted_node_grad_norm,accepted_node_relative_grad_norm,accepted_node_stationarity_passed,cold_restart_converged,cold_restart_termination,cold_restart_iterations,cold_restart_grad_norm,cold_restart_relative_grad_norm,cold_restart_feasible_init_used,cold_restart_min_cone_margin,cold_restart_min_alpha,cold_restart_force_norm
10,1,direct,0,1.8192154971400696e-14,1.4735652493746806e-16,0,0.020214402214874805,0.74212346853944666,5.2023052810951853,action_stationarity_plus_shooting_defect_v3,accepted_direct,-59.648581614600531,1.8192154971400696e-14,1.4735652493746806e-16,1,0.020214402214874805,0.74212346853944666,1,0.011300908785463653,49.042669937293695,4339.7102718302822,1.344578205706753e-14,9.6922546417302624e-14,0,1,1.8192154971400696e-14,1.4735652493746806e-16,1,1,gradient,9,2.5016701781404773e-14,2.0263538023395274e-16,0,0.020214402214870808,0.74212346853944622,5.2023052810961996
11,1,direct,0,4.9008662829125393e-14,3.7879518542414368e-16,0,0.0085996358609849999,0.96379443221187122,15.832118949469621,action_stationarity_plus_shooting_defect_v3,accepted_direct,-67.204951803288438,4.9008662829125393e-14,3.7879518542414368e-16,1,0.0085996358609849999,0.96379443221187122,1,0.011299533364008733,149.95163156044936,13270.603902819137,6.7051887952106651e-15,2.2889137516936665e-14,0,1,4.9008662829125393e-14,3.7879518542414368e-16,1,1,gradient,10,1.3015289482250892e-10,1.005970925990686e-12,1,0.0085996358578050991,0.96379443221079275,15.832118955305543
12,1,direct,0,7.3859234132617231e-13,5.6329282821742578e-15,0,0.00019804862955451891,0.095526554172162159,68.063265088420394,action_stationarity_plus_shooting_defect_v3,accepted_direct,-70.456235422757217,7.3859234132617231e-13,5.6329282821742578e-15,1,0.00019804862955451891,0.095526554172162159,1,0.011298657696254634,2241.6812485981018,198402.43937482871,2.6247746412029902e-14,1.2695217638744901e-13,0,1,7.3859234132617231e-13,5.6329282821742578e-15,1,1,gradient,14,3.1110422864033966e-11,2.3726590571811536e-13,1,0.00019804862955041802,0.09552655417212419,68.063265089801106
13,1,gradient,21,7.9304107069809959e-11,6.1473414734577211e-13,1,8.6486048349187519e-08,0.00035343909872442847,655.07771110838382,action_stationarity_plus_shooting_defect_v3,cold_refined,-65.832440950380786,7.9304107069809959e-11,6.1473414734577211e-13,1,8.6486048349187519e-08,0.00035343909872442847,1,0.011299551632932364,154647.1144704044,13686128.396430159,2.0891998965480656e-13,3.1369626244159342e-14,5.518538077975778e-14,1,3.0221809587923288e-10,2.3426754344417611e-12,1,1,gradient,21,7.9304107069809959e-11,6.1473414734577211e-13,1,8.6486048349187519e-08,0.00035343909872442847,655.07771110838382
14,1,gradient,11,4.2567281448658566e-10,3.6339188082345144e-12,1,1.1909145326973778e-07,0.00035273913702082993,419.0278864271437,action_stationarity_plus_shooting_defect_v3,cold_refined,-55.155705143562358,4.2567281448658566e-10,3.6339188082345144e-12,1,1.1909145326973778e-07,0.00035273913702082993,1,0.011291562618585403,70762.831219880289,6266876.7477238141,3.0652878289388353e-10,1.2570107198808001e-09,1.2943109161061422e-09,1,1.5389378349002487e-06,1.3137731498358163e-08,1,1,gradient,11,4.2567281448658566e-10,3.6339188082345144e-12,1,1.1909145326973778e-07,0.00035273913702082993,419.0278864271437
15,1,direct,0,5.5366816435644895e-12,5.6239889080625204e-14,0,6.7515813876277915e-08,0.00026840826581148169,500.42896858569941,action_stationarity_plus_shooting_defect_v3,accepted_direct,-40.995783009213888,5.5366816435644895e-12,5.6239889080625204e-14,1,6.7515813876277915e-08,0.00026840826581148169,1,0.01128055969320272,101737.85007971781,9018865.4505344778,2.5489590938597057e-14,6.5756803515851952e-14,0,1,5.5366816435644895e-12,5.6239889080625204e-14,1,1,step,13,1.693718266791897e-08,1.7204263056902273e-10,0,6.7515813869392014e-08,0.00026840826579117849,500.42896890720152
16,1,gradient,10,1.1307007320324345e-11,1.0582634814662658e-13,0,7.4099344661634652e-08,0.00027461811243292833,381.34538537495541,action_stationarity_plus_shooting_defect_v3,cold_refined,-52.104691852706367,1.1307007320324345e-11,1.0582634814662658e-13,1,7.4099344661634652e-08,0.00027461811243292833,1,0.011279457179145124,59475.364825624427,5272892.4700020095,5.1536846832068584e-14,3.3079452860334815e-14,2.6418791533601148e-14,1,1.3459445044799246e-11,1.2597178694764077e-13,1,1,gradient,10,1.1307007320324345e-11,1.0582634814662658e-13,0,7.4099344661634652e-08,0.00027461811243292833,381.34538537495541
17,1,gradient,14,7.769449737631726e-10,7.2858179860919817e-12,0,5.6045241630821141e-08,0.00024144252097246799,469.92727425799751,action_stationarity_plus_shooting_defect_v3,cold_refined,-54.366315262357105,7.769449737631726e-10,7.2858179860919817e-12,1,5.6045241630821141e-08,0.00024144252097246799,1,0.01127805791708918,84373.358117818934,7481195.6755401511,3.2399558037824088e-12,1.3621819906353996e-13,8.9287259020378111e-10,1,2.1155961071047378e-06,1.983904740857985e-08,1,1,gradient,14,7.769449737631726e-10,7.2858179860919817e-12,0,5.6045241630821141e-08,0.00024144252097246799,469.92727425799751
18,1,direct,0,7.7032902870908798e-12,7.4621473110652984e-14,0,6.9208044502499802e-08,0.00030132217550016271,515.60923084266517,action_stationarity_plus_shooting_defect_v3,accepted_direct,-54.27148411386257,7.7032902870908798e-12,7.4621473110652984e-14,1,6.9208044502499802e-08,0.00030132217550016271,1,0.011276906004025559,121320.02596972005,10758272.342290696,2.8651660085992851e-14,5.5183098117154455e-14,0,1,7.7032902870908798e-12,7.4621473110652984e-14,1,1,step,16,3.1455336866545497e-08,3.0470662362379602e-10,0,6.9208043974173166e-08,0.00030132217384415405,515.60923134514428
19,1,step,21,7.598810582581357e-08,6.8956653048062014e-10,1,2.1353402404823362e-07,0.00049165324386535314,243.33688710784998,action_stationarity_plus_shooting_defect_v3,cold_refined,-57.224559494939285,7.598810582581357e-08,6.8956653048062014e-10,1,2.1353402404823362e-07,0.00049165324386535314,1,0.01127665918596181,27656.214991420758,2452518.4751393106,8.8417161763851623e-10,9.7030566338221335e-11,7.2621994445402602e-10,1,2.0145259609239762e-07,1.8281146270558425e-09,1,1,step,21,7.598810582581357e-08,6.8956653048062014e-10,1,2.1353402404823362e-07,0.00049165324386535314,243.33688710784998
